,skill,count
304,(digital tag over 0.2 year(s) or tag management over 0.2 year(s) or tagging over 0.2 year(s) or tealium over 0.2 year(s) or piwik pro over 0.2 year(s) or pixel over 0.2 year(s) or qubit over 0.2 year(s) or opentag over 0.2 year(s) or open tag over 0.2 year(s) or ensighten over 0.2 year(s) or google tag over 0.2 year(s) or dynamic tag management over 0.2 year(s) or tag commander over 0.2 year(s) or mezzobit over 0.2 year(s) or supertag over 0.2 year(s) or super tag over 0.2 year(s) or tag defender over 0.2 year(s) or ubertags over 0.2 year(s) or ddx over 0.2 year(s) ) and(analytics over 0.2 year(s) or data scientist over 0.2 year(s) or informatics over 0.2 year(s) ) and(javascript over 0.2 year(s) or java script over 0.2 year(s) or html over 0.2 year(s) ),1
305,ai.ml,1
306,sklearn,1
307,splunk,1
308,unix,9
309,data scientist machine learning statistics r python c# java scala,1
310,9+ years of demonstrated experience leading teams,1
311,with thorough knowledge of business intelligence and analytics,1
312,organization transformation,1
313,and/or business strategy developm,1
314,administration,1
315,python tools,2
316,ai - r,1
317,windows,2
318,senior data scientist,1
319,big data ecosystem,1
320,keras,4
321,data visualization,2
322,data management systems,1
323,embedded,4
324,graphics,1
325,user interface,1
326,python software developer background; ml; data science; system programming; webservices,1
327,rdms,1
328,sosql,1
329,bash,1
330,caffe,1
331,git,4
332,data engineer,3
333,azure machine learning,1
334,datarobot,1
335,rapidminer,1
336,quantitative researcher-equities,1
337,jdbc,1
338,xml,2
339,xslt,1
340,python/r/sas,1
341,domino,1
342,laboratory,1
343,mathematical models,1
344,computer vision,1
345,masters or phd,2
346,2 years industry exp,2
347,open source ml & dl frameworks - computer vision,1
348,open source ml & dl frameworks,1
349,business concepts,1
350,data pipelining,2
351,tableau - python,2
352,pydata,1
353,golang,2
354,iterative,2
355,etl development,1
356,linux os,2
357,financial experience,1
358,scheduling,1
359,telecommunications,1
360,wireless,3
361,adobe,1
362,access,2
363,analytical skills,4
364,materials,1
365,software,2
366,telecom,1
367,econometrics,4
368,regressions,4
369,hypothesis testing,4
370,large data sets,8
371,experimental design - sql,2
372,experimental design,2
373,jr data scientist,1
374,marketing data scientist/analyst,1
375,scikit,3
376,devops,1
377,digital marketing,1
378,blueprint,1
379,statistical modeling,5
380,recommendation,1
381,mach,1
382,gcp,3
383,data streaming,1
384,machine learning tools like spark mlib,1
385,lambda tier,1
386,mahout,1
387,spss or even r,1
388,big data management tools i.e. informatica bdm/idl/eic/idq,1
389,conceptual and logical data modeling,1
390,operations research,3
391,bayesian hierarchical modeling,4
392,statistical regression,4
393,c++ - operations research,2
394,statistical computer language,1
395,python - aws,1
396,distributed computing - big data,1
397,distributed computing,1
398,bi dashboards,1
399,microsoft powerbi,1
400,computer science,1
401,mathematics,2
402,stanford corenlp,1
403,nltk,1
404,spacy,2
405,pytorch,1
406,pig - python,1
407,pig,4
408,fintech exp,1
409,dynamic pricing,1
410,avionics,2
411,statistical modelers,2
412,marketing/advertising analytics,2
413,machine learning - dynamic pricing,1
414,sql server; unix; x12; epic; cigo; caboodle,1
415,sr data scientist,1
416,data,5
417,scientist,2
418,rwd,2
419,full relocation package,1
420,python r scala sql,1
421,customer service,1
422,project management,2
423,civil,2
424,ms sql,1
425,release,2
426,big data/hadoop,1
427,datawarehouse,1
428,reporting&etl,1
429,data pipelines,1
430,ruby on rails,1
431,soap - ruby on rails,1
432,expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.   should have hands on experience configuring and onboarding users including developer,1
433,software engineer - data engineer - sql,1
434,hbase,4
435,cassandra,4
436,couchbase programming,1
437,intern,5
438,phd required,1
439,qlikview,1
440,software development,1
441,ecommerce,1
442,ms in statistics or analytics,1
443,programming in r,2
444,sas or pytho,1
445,middleware,1
446,quality assurance,1
447,data modelling,1
448,python or r,2
449,ms/phd,1
450,neural,1
451,experience with nlp technologies/data science in a clinical background,2
452,expert level understanding of the umls,1
453,risk management,4
454,tensor flow,1
455,cnn,1
456,rnn,1
457,lead data scientist - high growth startup - nyc - 160k+,1
458,rdbms - python,1
459,rdbms,1
460,powerpoint,1
461,version control,2
462,adtech,2
463,spark - big data,1
464,microsoft excel,1
465,tibco,1
466,visual basic,2
467,stata,2
468,biostatistics - r,1
469,biostatistics,2
470,jenkins,1
471,statistical analysis and data driven insights,1
472,logistic regression,1
473,clustering,1
474,chaid,1
475,random forests,1
476,svm,1
477,naive bayes classifier,1
478,neural network.,1
479,oop,2
480,erwin r7.0,1
481,microsoft azure,1
482,azure sql data warehouse,1
483,machine learning (aml)python,1
484,integration service (ssis),1
485,analysis service (ssas),1
486,reporting service (ssrs),1
487,c,2
488,snowflake,1
489,statistical diagnostics of models,4
490,model building,4
491,regression/logistic regression - sas,2
492,regression/logistic regression,2
493,pricing,2
494,underwriting,2
495,marketing,4
496,distribution,2
497,claims,3
498,operations - r,1
499,operations,1
500,mllib,1
501,power bi,1
502,dax,1
503,microsoft,1
504,python and (,1
505,strategic planning,1
506,reporting,1
507,financial,1
508,operating,1
509,spend analysis,1
