id,raw_skills,url
23,['business analyst data scientist r python jira github tableau powerbi statistics'],https://www.dice.com/jobs/detail/Business-Analyst%26%2347-Data-scientist_10482-Sedaa-San-Ramon-CA-94583/90752961/384608?icid=sr296-10p&q=%22Data+Scientist%22&l=
24,"['r', ' python', ' azure', ' spark or alteryx', ' sql']",https://www.dice.com/jobs/detail/Data-Scientist-Talent-Cloud-Staffing-Tampa-FL-33607/90918719/660200?icid=sr78-3p&q=%22Data+Scientist%22&l=
25,"['python', ' java', ' c++', ' data science - python', ' java', ' c++', ' data science']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-E%26%2345Commerce-%26%2347-Adtech-CyberCoders-New-York-NY-10001/cybercod/JO4%26%234514580331?icid=sr325-11p&q=%22Data+Scientist%22&l=
26,"['agile', ' analysis', ' architecture', ' business intelligence', ' consulting', ' data analysis', ' data architecture', ' database', ' data warehouse', ' foundation', ' hadoop', ' http', ' management', ' modeling', ' networks', ' programming', ' python', ' sas', ' sql']",https://www.dice.com/jobs/detail/BI-Data-Scientist-Eliassen-Group-Stamford-CT-06901/cxelisen/311718?icid=sr253-9p&q=%22Data+Scientist%22&l=
27,"['python', ' r', ' sql', ' machine learning', ' julia', ' apache spark - python', ' r', ' sql', ' machine learning', ' julia', ' apache spark']",https://www.dice.com/jobs/detail/Data-Scientist-CyberCoders-Santa-Monica-CA-90401/cybercod/ME1%26%234514633821?icid=sr68-3p&q=%22Data+Scientist%22&l=
29,"['one modern programming language: java', ' c#', ' or python and experience with languages/ frameworks used in ml & analytics: spark', ' r etc.']",https://www.dice.com/jobs/detail/Data-Scientist-U.S.-Tech-Solutions-Inc.-Seattle-WA-98104/usts/582961?icid=sr133-5p&q=%22Data+Scientist%22&l=
30,"['senior  data scientist  with phd', ' aws']",https://www.dice.com/jobs/detail/Senior-Data-scientist-with-PHD-Techpro-Consulting-Newark-NJ-07194/90836405/658240?icid=sr244-9p&q=%22Data+Scientist%22&l=
31,['business analyst and data and sql'],https://www.dice.com/jobs/detail/Business-Analyst-OnX-Enterprise-Solutions-Houston-TX-77079/10117905d/644028?icid=sr382-13p&q=%22Data+Scientist%22&l=
32,"['algorithms', ' business requirements', ' database', ' genetic', ' mathematical', ' modeling', ' physics', ' project', ' python', ' research']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-Statistics-%26%2345-Minnetonka%2C-MN-UnitedHealth-Group-Minnetonka-MN-55305/uhgbot/765459?icid=sr340-12p&q=%22Data+Scientist%22&l=
33,['knowledge of a variety of machine learning and statistical modeling techniques in a business setting'],https://www.dice.com/jobs/detail/Lead-Data-Scientist-%26%2347-Engineer-The-Execu%7CSearch-Group-Waltham-MA-02451/EXECUSCH/1058846?icid=sr294-10p&q=%22Data+Scientist%22&l=
34,"['aws cloud services: ec2', ' emr', ' rds', ' redshift; s3', ' redshift', ' etl tools knowledge is required.']",https://www.dice.com/jobs/detail/Data-Engineer-Talented-IT-New-York-NY-10001/10204403/486494?icid=sr404-14p&q=%22Data+Scientist%22&l=
36,"['data scientist', ' senior manager', ' python', ' analytics', ' machine leaning']",https://www.dice.com/jobs/detail/Senior-Data-Science-Manager-The-Robinson-Group-Cincinnati-OH-45240/10101529/501?icid=sr371-13p&q=%22Data+Scientist%22&l=
37,"['phd', ' cplex', ' ieor']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-Operations-Research-Analyst-%26%2345-BHJOB2052_15065-Visionaire-Partners-Atlanta-GA-30309/10294321/BHJOB2052_15065?icid=sr333-12p&q=%22Data+Scientist%22&l=
38,"['business process analysis', ' requirements gathering', ' documentation', ' presentation skills']",https://www.dice.com/jobs/detail/Multiple-Business-Analyst-to-work-with-key-stakeholders-for-healthcare-softw-QAT-Global-Austin-TX-78702/10119253/649376?icid=sr432-15p&q=%22Data+Scientist%22&l=
40,"['machine learning', ' natural language processing', ' optimization', ' nlp', ' reinforcement learningm probabistic inference', ' pyton', ' java', ' scala', ' c#', ' agile']",https://www.dice.com/jobs/detail/Sr.-Data-Scientist-Machine-Learning%2C-Natural-Language-Processing-%28c-Elan-Partners-Plano-TX-75024/10239619/3473?icid=sr358-12p&q=%22Data+Scientist%22&l=
41,"['scala', ' sql data engineer', ' spark']",https://www.dice.com/jobs/detail/Sr.-Scala-%26%2347-SQL-Data-Engineer-AEG-%26%2345-Application-Engineering-Group-Saint-Louis-MO-63105/10106235/7766?icid=sr398-14p&q=%22Data+Scientist%22&l=
42,"['algorithms', ' artificial intelligence', ' cisco', ' hadoop', ' hardware', ' micro', ' mongodb', ' networking', ' project', ' python']",https://www.dice.com/jobs/detail/SR-Data-Scientist-%28Machine-Learning%29-Cisco-Systems-Inc.-San-Jose-CA-95002/ciscobot/1243071?icid=sr280-10p&q=%22Data+Scientist%22&l=
44,"['data scientist', ' apache spark or kubernetes or hortonworks or hadoop']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-Euclid-Innovations-Charlotte-NC-28201/10375704/627697?icid=sr246-9p&q=%22Data+Scientist%22&l=
45,"['data science', ' python', ' hadoop']",https://www.dice.com/jobs/detail/Data-Scientist-Tekvalley%2C-Corp.-Sunnyvale-CA-94085/10216442/652150?icid=sr131-5p&q=%22Data+Scientist%22&l=
46,"['data scientist', 'python', ' slq', '']",https://www.dice.com/jobs/detail/Data-Scientist-Need-local-to-GA-for-F2F-TekShapers-Atlanta-GA-30301/10335759/654024?icid=sr348-12p&q=%22Data+Scientist%22&l=
47,"['watson', ' watson discovery', ' python', ' apache spark', ' spss', ' watson data studio']",https://www.dice.com/jobs/detail/IBM-Watson-Data-Scientist-Encode%2C-Inc.-Durham-NC-27713/encode/657602?icid=sr267-9p&q=%22Data+Scientist%22&l=
48,"['.net', ' algorithms', ' analysis', ' asp', ' asp.net', ' automated', ' c#', ' css', ' data analysis', ' database', ' data collection', ' development', ' jquery', ' management', ' mathematical', ' modeling', ' oracle', ' programming', ' python', ' sas', ' ups', ' validation']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Human-Capital-Analytics-Leidos-Bethesda--/SCNCAPI2/TR%26%2345658203?icid=sr284-10p&q=%22Data+Scientist%22&l=
50,"['data science; statistics', ' machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql']",https://www.dice.com/jobs/detail/Data-Scientist-IT-Associates%2C-Inc.-Chicago-IL-60601/itassoc/DSTT%26%2345F7?icid=sr114-4p&q=%22Data+Scientist%22&l=
51,"['data analyst', ' data scientist', ' erp', ' sap', ' mdm']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-Analyst-Source-One-Technical-Solutions-LLC-Duluth-GA-30097/sourcepi/646989?icid=sr245-9p&q=%22Data+Scientist%22&l=
52,['machine learning and tensorflow and statistical model'],https://www.dice.com/jobs/detail/Machine-Learning-Expert-%26%2347-Data-Scientist-Conduent-Morrisville-NC-27560/90981088/652949?icid=sr288-10p&q=%22Data+Scientist%22&l=
53,['azure cloud engineer'],https://www.dice.com/jobs/detail/Azure-Cloud-Engineer-Apex-Systems%2C-Inc-Chicago-IL-60631/apexsan/618805?icid=sr386-13p&q=%22Data+Scientist%22&l=
54,"['phd', ' machine learning', ' deep learning', ' python', ' phd']",https://www.dice.com/jobs/detail/Senior-Data-Scientist%2C-Machine-Learning-Covera-Health-New-York-NY-10017/91088673/637168?icid=sr276-10p&q=%22Data+Scientist%22&l=
55,['business intelligence engineer iii'],https://www.dice.com/jobs/detail/Business-Intelligence-Engineer-III-Experis-Seattle-WA-98141/cxmnpwr1/FOX_11356601%26%2345743?icid=sr428-15p&q=%22Data+Scientist%22&l=
56,"['hadoop', ' spark', ' machine learning', ' r studio']",https://www.dice.com/jobs/detail/Data-Scientist-Seneca-Resources%2C-LLC-Richmond-VA-23219/10119426/5593?icid=sr120-4p&q=%22Data+Scientist%22&l=
57,"['saas', ' 7 years of progressively increasing responsibilities (marketing', ' sales or product development function) within a data driven organization']",https://www.dice.com/jobs/detail/SaaS-Marketing-Manager-Data-Scientist-Titan-Technologies%2C-Inc.-Pittsburgh-PA-15201/10447565/SAAS?icid=sr320-11p&q=%22Data+Scientist%22&l=
58,"['agile', ' analysis', ' database', ' manager', ' olap', ' programming', ' python', ' research', ' scrum', ' sql']",https://www.dice.com/jobs/detail/Data-Product-Manager-Modis-Chicago-IL-60606/cxmodoak/US_EN_6_914752_1023348?icid=sr384-13p&q=%22Data+Scientist%22&l=
60,"['financial industry', ' statistics', ' data modeling']",https://www.dice.com/jobs/detail/Data-Scientist-SSI-Boston-MA-02108/10128873/NS8302?icid=sr135-5p&q=%22Data+Scientist%22&l=
62,"['machine learning', ' android', ' python or java', ' image processing', ' algorithms - machine learning', ' android', ' python or java', ' image processing', ' algorithms']",https://www.dice.com/jobs/detail/Senior-Computer-Vision-%26%2347-Image-Processing-Engineer-CyberCoders-Boston-MA-02108/cybercod/BS3%26%234514852051?icid=sr380-13p&q=%22Data+Scientist%22&l=
63,"['python', ' ai', ' visualization', ' crm - python', ' ai', ' visualization', ' crm']",https://www.dice.com/jobs/detail/Data-Scientist-CyberCoders-Clayton-MO-63105/cybercod/RC4%26%234514825181?icid=sr64-3p&q=%22Data+Scientist%22&l=
64,"['python', ' machine learning', ' natural language processing', ' information retrieval', ' or recommender systems', ' big data']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-NLP-%26-Ai-%40tech-Consulting-Group-San-Jose-CA-95113/techa001/%26%2345G%26%2345TARU%26%2345DS?icid=sr291-10p&q=%22Data+Scientist%22&l=
65,"['data science', ' leadership', ' management', ' life science - data science', ' leadership', ' management', ' life science']",https://www.dice.com/jobs/detail/Head-of-Data-Science-CyberCoders-Cambridge-MA-02138/cybercod/RR7%26%234514632141?icid=sr411-14p&q=%22Data+Scientist%22&l=
66,"['machine learning', ' algorithms', ' statistical analysis', ' regression', ' big data', ' analytics']",https://www.dice.com/jobs/detail/Data-Scientist-CompuGain-Corporation-Rockville-MD-20850/RTL61687/18%26%234501950?icid=sr134-5p&q=%22Data+Scientist%22&l=
67,"['algorithms', ' analysis', ' development', ' hadoop', ' libraries', ' modeling', ' python', ' statistical analysis', ' testing']",https://www.dice.com/jobs/detail/Data-Scientist-Fahrenheit-IT-Denver-CO-80002/10111360/152305?icid=sr88-3p&q=%22Data+Scientist%22&l=
68,['nlp'],https://www.dice.com/jobs/detail/Data-Scientist-I-CSI-%28Consultant-Specialists-Inc.%29-South-San-Francisco-CA-94080/10106409/DataScientist?icid=sr255-9p&q=%22Data+Scientist%22&l=
69,"['algorithms', ' analysis', ' apache', ' data analysis', ' development', ' hadoop', ' java', ' management', ' matlab', ' perl', ' python', ' research', ' scientific', ' security', ' sql']",https://www.dice.com/jobs/detail/Data-Scientist-comScore-Madison-WI-53562/10117623/3667?icid=sr22-1p&q=%22Data+Scientist%22&l=
