skill,count,clean_skill,skill_group,Period Table Group
sas/stat,2,SAS,Programming Language,Programming Languages & Distributions
ssps modeler experience,2,SPSS,Programming Language,Programming Languages & Distributions
visual basic,2,Visual Basic,Programming Languauge,Programming Languages & Distributions
leadership,2,Leadership,Soft Skill,Soft Skill
presentation skills,2,Presentation Skills,Soft Skill,Soft Skill
process improvement,2,Process Improvement,Soft Skill,Soft Skill
project management,2,Project Management,Soft Skill,Soft Skill
adobe marketing suite,2,Adobe,Software,Data Visualization & Reporting
bayesian inference,2,Bayesian,Statistical,Machine Learning & Stats
mixed effects,2,Mixed Effects,Statistical Modeling,Machine Learning & Stats
tableau - python,2,Tableau,Visualization,Data Visualization & Reporting
automation,2,Automation,General Skill,Search & Data Management
civil,2,Civil,,Domain Expertise
data pipelining,2,Data Pipelines,Data Engineering,Search & Data Management
experience with nlp technologies/data science in a clinical background,2,Data Science,,Machine Learning & Stats
dce,2,Distributed Computing Environment,Database Technology,Search & Data Management
distribution,2,Distribution,,needs input
documentation,2,Documentation,,Collaboration
requirements gathering,2,Documentation,,Collaboration
2 years industry exp,2,Experience,,needs input
experience with nlp technologies/data science in a clinical background,2,Experience,,needs input
model development experience,2,Experience,,needs input
experimental design,2,Experimental Design,,needs input
experimental design - sql,2,Experimental Design,,needs input
google,2,Google,,needs input
google analytics,2,Google Analytics,,Data Visualization & Reporting
gpu,2,GPU,Hardware,needs input
informatica,2,Informatica,Cloud Computing,Search & Data Management
iterative,2,Iterative Development,Methodology,needs input
micro,2,Micro,,needs input
network planning,2,Network Planning,,Search & Data Management
oop,2,Object Oriented Programming,Methodology,Programming Languages & Distributions
pre-sales engineering,2,Pre-Sales Engineering,General Skill,needs input
pricing,2,Pricing,Domain Expertise,needs input
object oriented programming,2,Programming Languages,General Skill,Programming Languages & Distributions
recommender systems,2,Recommender Systems,Machine Learning,Machine Learning & Stats
reengineering,2,Reengineering,,needs input
data visualizations & reporting,2,Reporting,General Skill,Data Visualization & Reporting
s3,2,S3,,Search & Data Management
salesforce marketing suite,2,Salesforce,,Domain Expertise
scikit-learn,2,Scikit-Learn,Machine Learning,Machine Learning & Stats
scikit.learn,2,Scikit-Learn,Machine Learning,Machine Learning & Stats
software,2,Software Development,General Skill,needs input
spacy,2,spaCy,,needs input
stata,2,Stata,Programming Language - Econometrics,Machine Learning & Stats
structured,2,Structured Data,General Skill,Machine Learning & Stats
supply chain management,2,Supply Chain,Domain Expertise,Domain Expertise
version control,2,Version Control,Development Tools,Collaboration
virtual environments,2,VM,Virtualization,Operating System
windows,2,Windows,Operating System,Operating System
xgboost,2,XGBoost,Machine Learning,Machine Learning & Stats
xml,2,XML,Data format,Search & Data Management
yield management,2,Yield Management,Domain Expertise,needs input
looker,1,Looker,Business Intelligence,Data Visualization & Reporting
amazon web services,1,Amazon Web Services,Cloud Computing,Search & Data Management
aws cloud services: ec2,1,Amazon Web Services,Cloud Computing,Search & Data Management
ec2,1,Amazon Web Services,Cloud Computing,Search & Data Management
etc.) amazon web services (aws),1,Amazon Web Services,Cloud Computing,Search & Data Management
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Amazon Web Services,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Amazon Web Services,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Amazon Web Services,Cloud Computing,Search & Data Management
python - aws,1,Amazon Web Services,Cloud Computing,Search & Data Management
cloud enablement/deployment,1,Cloud,Cloud Computing,Search & Data Management
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1,Cloud,Cloud Computing,Search & Data Management
cloud/analytics,1,Cloud,Cloud Computing,Search & Data Management
data scientist machine learning statistical modeling database data python r cloud,1,Cloud,Cloud Computing,Search & Data Management
etc.) gcp or other cloud platforms,1,Cloud,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Cloud,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Cloud,Cloud Computing,Search & Data Management
etc.) gcp or other cloud platforms,1,Google Cloud Platform,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Google Cloud Platform,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Google Cloud Platform,Cloud Computing,Search & Data Management
public cloud,1,Google Cloud Platform,Cloud Computing,Search & Data Management
azure - data science,1,Microsoft Azure,Cloud Computing,Search & Data Management
azure cloud engineer,1,Microsoft Azure,Cloud Computing,Search & Data Management
azure machine learning,1,Microsoft Azure,Cloud Computing,Search & Data Management
azure sql data warehouse,1,Microsoft Azure,Cloud Computing,Search & Data Management
data analyst and capacity and visualization and sql and azure,1,Microsoft Azure,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Microsoft Azure,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Microsoft Azure,Cloud Computing,Search & Data Management
h2o or azure ml,1,Microsoft Azure,Cloud Computing,Search & Data Management
microsoft azure,1,Microsoft Azure,Cloud Computing,Search & Data Management
atlassian,1,Atlassian,Collaboration tools,Collaboration
bs/ms in computer science,1,Bachelors,Credential,Credential
cfa,1,CFA,Credential,Credential
cfa a plus,1,CFA,Credential,Credential
ms in statistics or analytics,1,Master's Degree,Credential,Credential
ms/phd,1,Master's Degree,Credential,Credential
bs/ms in computer science,1,Master's Degree,Credential,Credential
masters degree with 5 years of experience in creating machine learning pipelines,1,Master's Degree,Credential,Credential
ms/phd,1,PhD,Credential,Credential
phd required,1,PhD,Credential,Credential
senior data scientist with phd,1,PhD,Credential,Credential
azure sql data warehouse,1,Data Warehouse,Database Technology,Search & Data Management
data warehouse reporting,1,Data Warehouse,Database Technology,Search & Data Management
data warehousing,1,Data Warehouse,Database Technology,Search & Data Management
datawarehouse,1,Data Warehouse,Database Technology,Search & Data Management
data scientist machine learning statistical modeling database data python r cloud,1,Database,Database Technology,Search & Data Management
database concepts and sql,1,Database,Database Technology,Search & Data Management
apache hadoop,1,Hadoop,Database Technology,Search & Data Management
apache spark or kubernetes or hortonworks or hadoop,1,Hadoop,Database Technology,Search & Data Management
big data/hadoop,1,Hadoop,Database Technology,Search & Data Management
hadoop - data,1,Hadoop,Database Technology,Search & Data Management
hadoop hbase,1,Hadoop,Database Technology,Search & Data Management
pyspark hadoop,1,Hadoop,Database Technology,Search & Data Management
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,Hadoop,Database Technology,Search & Data Management
hadoop hbase,1,HBase,Database Technology,Search & Data Management
hdfs/ hive/ impala,1,HDFS,Database Technology,Search & Data Management
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Hive,Database Technology,Search & Data Management
hdfs/ hive/ impala,1,Hive,Database Technology,Search & Data Management
hive - python,1,Hive,Database Technology,Search & Data Management
apache spark or kubernetes or hortonworks or hadoop,1,Hortonworks,Database Technology,Search & Data Management
apache spark or kubernetes or hortonworks or hadoop,1,Kubernetes,Database Technology,Search & Data Management
mongo,1,MongoDB,Database Technology,Search & Data Management
nosql (dynamodb/cassandra/mongodb),1,MongoDB,Database Technology,Search & Data Management
oracle marketing suite,1,Oracle,Database Technology,Search & Data Management
oracle marketing suite - marketing technologies,1,Oracle,Database Technology,Search & Data Management
pig - python,1,Pig,Database Technology,Search & Data Management
postgres,1,PostgreSQL,Database Technology,Search & Data Management
postgres) kafka,1,PostgreSQL,Database Technology,Search & Data Management
redshift - data scientist,1,Redshift,Database Technology,Search & Data Management
redshift is a plus.,1,Redshift,Database Technology,Search & Data Management
redshift; s3,1,Redshift,Database Technology,Search & Data Management
rdbms,1,Relational Database Management Systems,Database Technology,Search & Data Management
rdbms - python,1,Relational Database Management Systems,Database Technology,Search & Data Management
rdms,1,Relational Database Management Systems,Database Technology,Search & Data Management
soap - ruby on rails,1,SOAP,Database Technology,Search & Data Management
apache spark or kubernetes or hortonworks or hadoop,1,Spark,Database Technology,Search & Data Management
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Spark,Database Technology,Search & Data Management
golang - spark,1,Spark,Database Technology,Search & Data Management
machine learning tools like spark mlib,1,Spark,Database Technology,Search & Data Management
or python and experience with languages/ frameworks used in ml & analytics: spark,1,Spark,Database Technology,Search & Data Management
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,Spark,Database Technology,Search & Data Management
spark - big data,1,Spark,Database Technology,Search & Data Management
spark - machine learning,1,Spark,Database Technology,Search & Data Management
spark or alteryx,1,Spark,Database Technology,Search & Data Management
sparks,1,Spark,Database Technology,Search & Data Management
azure sql data warehouse,1,SQL,Database Technology,Programming Languages & Distributions
business analyst and data and sql,1,SQL,Database Technology,Programming Languages & Distributions
data analyst and capacity and visualization and sql and azure,1,SQL,Database Technology,Programming Languages & Distributions
database concepts and sql,1,SQL,Database Technology,Programming Languages & Distributions
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,SQL,Database Technology,Programming Languages & Distributions
ibm db2 and sql server,1,SQL,Database Technology,Programming Languages & Distributions
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,SQL,Database Technology,Programming Languages & Distributions
machine learning python sql / nosql databases,1,SQL,Database Technology,Programming Languages & Distributions
ms sql,1,SQL,Database Technology,Programming Languages & Distributions
pl/sql,1,SQL,Database Technology,Programming Languages & Distributions
python r scala sql,1,SQL,Database Technology,Programming Languages & Distributions
r required; python & spark | data mining | data mining expertise: sql required; machine learning | hadoop framework,1,SQL,Database Technology,Programming Languages & Distributions
software engineer - data engineer - sql,1,SQL,Database Technology,Programming Languages & Distributions
sql - full stack,1,SQL,Database Technology,Programming Languages & Distributions
sql (oracle,1,SQL,Database Technology,Programming Languages & Distributions
sql and data visualization software,1,SQL,Database Technology,Programming Languages & Distributions
sql and relational databases,1,SQL,Database Technology,Programming Languages & Distributions
sql data engineer,1,SQL,Database Technology,Programming Languages & Distributions
sql python etl,1,SQL,Database Technology,Programming Languages & Distributions
sql server; unix; x12; epic; cigo; caboodle,1,SQL,Database Technology,Programming Languages & Distributions
accumulo,1,Accumulo,Database Technology,Search & Data Management
bigtable,1,BigTable,Database Technology,Search & Data Management
nosql (dynamodb/cassandra/mongodb),1,Cassandra,Database Technology,Search & Data Management
couchbase programming,1,Couchbase,Database Technology,Search & Data Management
ibm db2 and sql server,1,DB2,Database Technology,Search & Data Management
nosql (dynamodb/cassandra/mongodb),1,DynamoDB,Database Technology,Search & Data Management
kdb,1,KDB,Database Technology,Search & Data Management
netezza,1,Netezza,Database Technology,Search & Data Management
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,NoSQL,Database Technology,Search & Data Management
machine learning python sql / nosql databases,1,NoSQL,Database Technology,Search & Data Management
nosql (dynamodb/cassandra/mongodb),1,NoSQL,Database Technology,Search & Data Management
computational physics - data science,1,Physics,Database Technology,Machine Learning & Stats
data analysis - sql server,1,SQL Server,Database Technology,Search & Data Management
ci/cd/ci-cd/continuous integration/continuous deployment/jenkins,1,Jenkins,Development Tool,Programming Languages & Distributions
jenkins,1,Jenkins,Development Tool,Programming Languages & Distributions
business analyst data scientist r python jira github tableau powerbi statistics,1,Jira,Development Tool,Collaboration
ci/cd/ci-cd/continuous integration/continuous deployment/jenkins,1,Continuous Deployment,Development Tool,Programming Languages & Distributions
ci/cd/ci-cd/continuous integration/continuous deployment/jenkins,1,Continuous Integration,Development Tool,Programming Languages & Distributions
celery,1,Celery,Distributed System,Programming Languages & Distributions
celery - java,1,Celery,Distributed System,Programming Languages & Distributions
airline contracting,1,Airlines,Domain Expertise,Domain Expertise
airline contracting - direct analytics,1,Airlines,Domain Expertise,Domain Expertise
applied mathematics,1,Applied Mathematics,Domain Expertise,Domain Expertise
architect,1,Architecture,Domain Expertise,Domain Expertise
asset mgmt/electronic trading,1,Asset Management,Domain Expertise,Domain Expertise
astronomy,1,Astronomy,Domain Expertise,Domain Expertise
bioinformatics,1,Bioinformatics,Domain Expertise,Domain Expertise
biology,1,Biology,Domain Expertise,Domain Expertise
biomedical,1,Biomedical,Domain Expertise,Domain Expertise
biomedical - data science,1,Biomedical,Domain Expertise,Domain Expertise
biostatistics - r,1,Biostatistics,Domain Expertise,Domain Expertise
business concepts,1,Business,Domain Expertise,Domain Expertise
knowledge of a variety of machine learning and statistical modeling techniques in a business setting,1,Business,Domain Expertise,Domain Expertise
business services general,1,Business,Domain Expertise,Domain Expertise
claims data,1,Claims,Domain Expertise,Domain Expertise
computer science,1,Computer Science,Domain Expertise,Domain Expertise
dynamic pricing,1,Dynamic Pricing,Domain Expertise,Domain Expertise
machine learning - dynamic pricing,1,Dynamic Pricing,Domain Expertise,Domain Expertise
ecommerce,1,eCommerce,Domain Expertise,Domain Expertise
asset mgmt/electronic trading,1,Electronic Trading,Domain Expertise,Domain Expertise
finance,1,Finance,Domain Expertise,Domain Expertise
financial,1,Finance,Domain Expertise,Domain Expertise
financial data experience,1,Finance,Domain Expertise,Domain Expertise
financial experience,1,Finance,Domain Expertise,Domain Expertise
financial industry,1,Finance,Domain Expertise,Domain Expertise
fintech,1,FinTech,Domain Expertise,Domain Expertise
fintech exp,1,FinTech,Domain Expertise,Domain Expertise
machine learning and supervised machine learning to cybersecurity or fraud detectionworking knowledge of security detection tools,1,Fraud Detection,Domain Expertise,Domain Expertise
genetics,1,Genetics,Domain Expertise,Domain Expertise
healthcare,1,Healthcare,Domain Expertise,Domain Expertise
healthcare analytics,1,Healthcare,Domain Expertise,Domain Expertise
insurance,1,Insurance,Domain Expertise,Domain Expertise
life science,1,Life Science,Domain Expertise,Domain Expertise
life science - data science,1,Life Science,Domain Expertise,Domain Expertise
